RowNumber,CustomerId,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
482,15744398,525,23,5,0,2,1,0,160249.1,0
483,15750658,798,37,8,0,3,0,0,110783.28,0
484,15578186,486,37,9,115217.99,2,1,0,144995.33,0
485,15676519,615,61,9,0,2,1,0,150227.85,1
486,15637954,730,35,0,155470.55,1,1,1,53718.28,0
487,15758639,641,37,7,0,2,1,0,75248.3,0
488,15613772,542,39,3,135096.77,1,1,1,14353.43,1
489,15731744,692,30,2,0,2,0,1,130486.57,0
490,15807709,714,55,9,180075.22,1,1,1,100127.71,0
491,15714689,591,29,1,97541.24,1,1,1,196356.17,0
492,15699005,710,41,2,156067.05,1,1,1,9983.88,0
493,15624170,639,38,4,81550.94,2,0,1,118974.77,0
494,15725679,531,47,6,0,1,0,0,194998.34,1
495,15585865,673,38,2,170061.92,2,0,0,134901.34,1
496,15804256,765,36,8,92310.54,2,1,1,72924.56,0
497,15662403,622,32,6,169089.38,2,1,0,101057.95,0
498,15733616,806,40,5,80613.93,1,1,1,142838.64,0
499,15591995,757,26,8,121581.56,2,1,1,127059.04,0
500,15677020,570,58,8,0,1,0,1,116503.92,1
501,15727688,555,32,4,0,2,1,1,54405.79,0
502,15715941,692,54,5,0,2,1,1,88721.84,0
503,15714485,774,60,5,85891.55,1,1,0,74135.48,1
504,15730059,638,44,9,77637.35,2,1,1,111346.22,0
505,15715527,543,41,4,0,1,0,0,194902.16,0
506,15576623,584,31,5,0,2,1,0,31474.27,0
507,15805565,691,30,7,116927.89,1,1,0,21198.39,0
508,15677307,684,40,6,137326.65,1,1,0,186976.6,0
509,15773890,733,22,5,0,2,1,1,117202.19,0
510,15598883,599,37,2,0,2,1,1,143739.29,0
511,15568506,524,31,10,67238.98,2,1,1,161811.23,0
512,15761043,632,38,6,86569.76,2,1,0,98090.91,0
513,15782236,735,34,5,0,2,0,0,71095.41,0
514,15593601,734,34,6,133598.4,1,1,1,13107.24,0
515,15682048,605,51,3,136188.78,1,1,1,67110.59,1
516,15746902,793,38,9,0,2,1,0,88225.02,0
517,15752081,468,56,10,0,3,0,1,62256.87,1
518,15781307,779,37,7,120092.52,2,1,0,135925.72,0
519,15775912,698,48,4,101238.24,2,0,1,177815.87,1
520,15745417,707,58,6,89685.92,1,0,1,126471.13,0
521,15671256,850,35,1,211774.31,1,1,0,188574.12,1
522,15653547,850,56,7,131317.48,1,1,1,119175.45,0
523,15595766,527,37,5,93722.73,2,1,1,139093.73,0
524,15742358,696,32,8,101160.99,1,1,1,115916.55,0
525,15763274,661,48,3,120320.54,1,0,0,96463.25,0
526,15786063,776,31,2,0,2,1,1,112349.51,0
527,15600258,701,43,2,0,2,1,1,165303.79,0
528,15573318,610,26,8,0,2,1,0,166031.08,0
529,15653849,572,48,3,152827.99,1,1,0,38411.79,1
530,15694272,673,30,1,64097.75,1,1,1,77783.35,0
531,15736112,519,57,2,119035.35,2,1,1,29871.79,0
532,15749851,702,26,4,135219.57,1,0,1,59747.63,0
533,15663478,729,32,6,93694.42,1,1,1,79919.13,0
534,15592300,543,35,10,59408.63,1,1,0,76773.53,0
535,15567832,550,40,7,114354.95,1,1,0,54018.93,0
536,15776780,608,59,1,0,1,1,0,70649.64,1
537,15592846,639,35,10,128173.9,2,1,0,59093.39,0
538,15739803,686,34,9,0,2,1,0,127569.8,0
539,15794142,564,62,5,114931.35,3,0,1,18260.98,1
540,15762729,745,28,1,111071.36,1,1,0,73275.96,1
541,15667896,833,37,8,151226.18,2,1,1,136129.49,0
542,15626578,622,26,9,0,2,1,1,153237.59,0
543,15776223,597,42,4,64740.12,1,1,1,106841.12,0
544,15705953,721,51,0,169312.13,1,1,0,109078.35,1
545,15802593,504,49,7,0,3,0,1,87822.14,1
546,15615457,842,44,2,112652.08,2,1,0,126644.98,0
547,15708916,587,38,0,0,2,1,0,47414.15,0
548,15720187,479,30,7,143964.36,2,1,0,41879.99,0
549,15595440,508,49,7,122451.46,2,1,1,75808.1,0
550,15600651,749,24,1,0,3,1,1,47911.03,0
551,15750141,721,36,3,65253.07,2,1,0,28737.78,0
552,15657284,674,47,6,106901.94,1,1,1,2079.2,1
553,15763063,685,25,10,128509.63,1,1,0,121562.33,0
554,15709324,417,34,7,0,2,1,0,55003.79,0
555,15711309,574,33,3,129834.67,1,1,0,193131.42,0
556,15775318,590,51,3,154962.99,3,0,1,191932.27,1
557,15705515,587,40,5,138241.9,2,1,0,159418.1,0
558,15634844,598,41,3,91536.93,1,1,0,191468.78,1
559,15717046,741,53,3,0,2,1,1,38913.68,0
560,15571816,850,70,5,0,1,1,1,705.18,0
561,15670080,584,29,7,105204.01,1,0,1,138490.03,0
562,15800440,650,61,1,152968.73,1,0,1,82970.69,0
563,15665678,607,36,8,158261.68,1,1,1,76744.72,0
564,15665956,509,46,1,0,1,1,0,71244.59,1
565,15788126,689,38,6,121021.05,1,1,1,12182.15,0
566,15811773,543,36,4,0,2,1,1,141210.5,0
567,15651674,438,54,2,0,1,0,0,191763.07,1
568,15689614,687,63,1,137715.66,1,1,1,37938.74,0
569,15795564,737,31,5,121192.22,2,1,1,74890.58,0
570,15706647,761,31,7,0,3,1,1,166698.18,0
571,15728505,601,44,1,100486.18,2,1,1,62678.53,0
572,15730076,651,45,1,0,1,1,0,67740.08,1
573,15622003,745,35,9,92566.53,2,1,0,161519.77,0
574,15607312,648,49,10,0,2,1,1,159835.78,1
575,15644753,848,40,3,110929.96,1,1,1,30876.84,0
576,15653620,546,27,8,0,2,1,1,14858.1,0
577,15761986,439,32,3,138901.61,1,1,0,75685.97,0
578,15633922,755,30,4,123217.66,2,0,1,144183.1,0
579,15734674,593,41,6,0,1,1,0,65170.66,0
580,15658032,701,39,2,0,2,1,1,82526.92,0
581,15692671,701,36,8,0,2,1,0,169161.46,0
582,15737741,607,33,2,108431.87,2,0,1,109291.39,1
583,15576352,586,57,3,0,2,0,1,6057.81,0
584,15753719,547,30,9,72392.41,1,1,0,77077.14,0
585,15803689,647,51,1,119741.77,2,0,0,54954.51,1
586,15718057,760,51,2,100946.71,1,0,0,179614.8,1
587,15722010,621,53,9,170491.84,1,1,0,35588.07,1
588,15680998,725,44,5,0,1,1,1,117356.14,0
589,15614782,526,36,1,0,1,1,0,160696.72,0
590,15591047,519,47,6,157296.02,2,0,0,147278.43,1
591,15788291,713,38,7,144606.22,1,1,1,56594.36,1
592,15604044,700,38,8,134811.3,1,1,0,1299.75,0
593,15679587,666,34,9,115897.12,1,1,1,25095.03,0
594,15775153,630,32,4,82034,1,0,0,146326.45,0
595,15603925,779,26,4,174318.13,2,0,1,38296.21,0
596,15680970,611,41,2,114206.84,1,1,0,164061.6,0
597,15697183,685,43,9,0,2,1,0,107811.28,0
598,15567446,646,39,9,111574.41,1,1,1,30838.51,0
599,15637476,683,57,5,162448.69,1,0,0,9221.78,1
600,15714939,484,34,4,148249.54,1,0,1,33738.27,0
601,15683503,601,43,8,0,3,0,1,110916.15,1
602,15645569,762,26,7,123709.46,2,1,1,169654.57,0
603,15782569,687,72,9,0,1,0,1,69829.4,0
604,15592387,566,30,5,0,1,1,0,54926.51,1
605,15609286,702,37,10,150525.8,1,1,1,94728.49,0
606,15814035,601,29,9,0,1,1,1,80393.27,0
607,15661249,699,53,4,0,2,0,1,111307.98,0
608,15629117,584,28,10,0,2,1,0,19834.32,0
609,15607170,699,35,5,0,2,1,1,78397.24,0
610,15586585,698,51,2,111018.98,1,1,0,86410.28,0
611,15686611,495,30,10,129755.99,1,0,0,172749.65,0
612,15603203,650,27,6,0,2,1,0,1002.39,0
613,15619857,605,64,2,129555.7,1,1,1,13601.79,0
614,15805062,667,38,1,87202.38,1,1,1,77866.91,0
615,15660271,688,26,8,146133.39,1,1,1,175296.76,0
616,15745295,727,31,0,0,1,1,0,121751.04,1
617,15719352,754,39,6,170184.99,2,1,0,89593.26,0
618,15766575,612,62,8,140745.33,1,1,0,193437.89,1
619,15594594,546,42,7,139070.51,1,1,1,86945,0
620,15646161,673,37,8,0,2,1,1,183318.79,0
621,15682585,593,35,9,114193.24,1,1,0,71154.1,0
622,15603134,656,40,10,167878.5,1,0,1,151887.16,0
623,15636444,535,53,5,141616.55,2,1,1,75888.65,0
624,15773456,678,36,3,145747.67,2,0,1,89566.74,0
625,15745307,477,48,2,129120.64,1,0,1,26475.79,0
626,15604119,850,35,7,110349.82,1,0,0,126355.8,0
627,15626900,427,29,1,141325.56,1,1,1,93839.3,0
628,15605447,752,49,2,78653.84,1,1,0,7698.6,0
629,15589030,649,47,1,0,2,1,1,145593.85,0
630,15692463,799,28,3,142253.65,1,1,0,45042.56,0
631,15712403,589,61,1,0,1,1,0,61108.56,1
632,15811762,583,54,6,115988.86,1,1,0,57553.98,1
633,15718673,839,33,10,75592.43,1,1,0,62674.42,0
634,15724282,540,44,3,164113.04,2,1,1,12120.79,0
635,15738181,850,31,6,67996.23,2,0,0,50129.87,1
636,15633648,696,51,5,0,2,1,0,55022.43,0
637,15603323,660,33,1,0,2,0,0,117834.91,0
638,15583725,682,48,1,138778.15,1,0,1,168840.23,0
639,15588350,744,43,10,147832.15,1,0,1,24234.11,0
640,15798398,785,36,4,135438.4,1,0,0,190627.01,0
641,15784844,752,48,5,116060.08,1,1,0,156618.38,1
642,15580684,706,29,5,112564.62,1,1,0,42334.38,0
643,15809663,583,27,1,125406.58,1,1,1,110784.42,0
644,15640078,660,39,5,135134.99,1,1,0,173683,1
645,15698786,819,39,9,133102.92,1,1,0,27046.46,1
646,15569807,673,34,8,42157.08,1,1,0,20598.59,1
647,15730830,752,30,3,0,2,1,1,104991.28,0
648,15805112,578,38,7,82259.29,1,1,0,8996.97,0
649,15633064,438,36,4,0,2,1,0,64420.5,0
650,15703119,652,38,6,0,2,1,1,145700.22,0
651,15730447,629,49,4,0,2,1,1,196335.48,0
652,15813850,720,52,7,0,1,1,1,14781.12,0
653,15711889,668,42,3,150461.07,1,1,0,108139.23,0
654,15664610,459,48,4,133994.52,1,1,1,19287.06,1
655,15751710,729,31,8,164870.81,2,1,1,9567.39,0
656,15692926,498,25,8,121702.73,1,1,1,132210.49,0
657,15813741,549,25,6,193858.2,1,0,1,21600.11,0
658,15698474,601,54,1,131039.97,2,1,1,199661.5,0
659,15568595,544,64,9,113829.45,1,1,1,124341.49,0
660,15603065,751,30,6,0,2,1,0,15766.1,0
661,15592937,632,41,3,81877.38,1,1,1,33642.21,0
662,15699637,694,57,8,116326.07,1,1,1,117704.65,0
663,15667215,678,31,2,0,2,1,1,58803.28,0
664,15788659,695,46,4,0,2,1,1,137537.22,0
665,15763218,661,41,1,0,2,0,1,131300.68,0
